1	Tom Brady, QB	NE	334	530	63.0	4,110	7.76	71	26	14	26	92.3	257
2	Trent Green, QB	KC	317	507	62.5	4,014	7.92	60	17	10	32	90.1	251
3	Brett Favre, QB	GB	372	607	61.3	3,881	6.39	59	20	29	24	70.9	243
4	Carson Palmer, QB	CIN	345	509	67.8	3,836	7.54	70	32	12	19	101.1	240
5	Eli Manning, QB	NYG	294	557	52.8	3,762	6.75	78	24	17	28	75.9	235
6	Kerry Collins, QB	OAK	302	565	53.5	3,759	6.65	79	20	12	39	77.3	251
7	Peyton Manning, QB	IND	305	453	67.3	3,747	8.27	80	28	10	17	104.1	234
8	Drew Bledsoe, QB	DAL	300	499	60.1	3,639	7.29	71	23	17	49	83.7	227
9	Drew Brees, QB	SD	323	500	64.6	3,576	7.15	54	24	15	27	89.2	224
10	Matt Hasselbeck, QB	SEA	294	449	65.5	3,459	7.70	56	24	9	24	98.2	216
11	Jake Delhomme, QB	CAR	262	435	60.2	3,421	7.86	80	24	16	28	88.1	214
12	Jake Plummer, QB	DEN	277	456	60.7	3,366	7.38	72	18	7	22	90.2	210
13	Steve McNair, QB	TEN	292	476	61.3	3,161	6.64	57	16	11	20	82.4	226
14	Mark Brunell, QB	WSH	262	454	57.7	3,050	6.72	78	23	10	27	85.9	191
15	Gus Frerotte, QB	MIA	257	494	52.0	2,996	6.07	60	18	13	26	71.9	187
16	Aaron Brooks, QB	NO	240	431	55.7	2,882	6.69	66	13	17	33	70.0	222
17	Kurt Warner, QB	ARI	242	375	64.5	2,713	7.24	63	11	9	23	85.8	271
18	Donovan McNabb, QB	PHI	211	357	59.1	2,507	7.02	91	16	9	19	85.0	279
19	David Carr, QB	HOU	256	423	60.5	2,488	5.88	53	14	11	68	77.2	156
20	Michael Vick, QB	ATL	214	387	55.3	2,412	6.23	58	15	13	33	73.1	161
21	Ben Roethlisberger, QB	PIT	168	268	62.7	2,385	8.90	85	17	9	23	98.6	199
22	Trent Dilfer, QB	CLE	199	333	59.8	2,321	6.97	80	11	12	23	76.9	211
23	Marc Bulger, QB	STL	192	287	66.9	2,297	8.00	57	14	9	26	94.4	287
24	Byron Leftwich, QB	JAC	175	302	57.9	2,123	7.03	45	15	5	23	89.3	193
25	Chris Simms, QB	TB	191	313	61.0	2,035	6.50	78	10	7	29	81.4	185
26	Joey Harrington, QB	DET	188	330	57.0	2,021	6.12	86	12	12	24	72.0	168
27	Brad Johnson, QB	MIN	184	294	62.6	1,885	6.41	80	12	4	23	88.9	126
28	Kyle Orton, QB	CHI	190	368	51.6	1,869	5.08	54	9	13	30	59.7	125
29	Josh McCown, QB	ARI	163	270	60.4	1,836	6.80	49	9	11	18	74.9	204
30	Kyle Boller, QB	BAL	171	293	58.4	1,799	6.14	47	11	12	23	71.7	200
31	Anthony Wright, QB	BAL	164	266	61.7	1,582	5.95	48	6	9	19	71.7	176
32	Daunte Culpepper, QB	MIN	139	216	64.4	1,564	7.24	68	6	12	31	72.0	223
33	Brooks Bollinger, QB	NYJ	150	266	56.4	1,558	5.86	60	7	6	32	72.9	142
34	Kelly Holcomb, QB	BUF	155	230	67.4	1,509	6.56	65	10	8	17	85.6	151
35	J.P. Losman, QB	BUF	113	228	49.6	1,340	5.88	58	8	8	26	64.9	149
36	Jamie Martin, QB	STL	124	177	70.1	1,277	7.22	83	5	7	11	83.5	160
37	Mike McMahon, QB	PHI	94	207	45.4	1,158	5.59	48	5	8	19	55.2	129
38	Brian Griese, QB	TB	112	174	64.4	1,136	6.53	80	7	7	12	79.6	189
39	David Garrard, QB	JAC	98	168	58.3	1,117	6.65	37	4	1	8	83.9	160
40	Charlie Frye, QB	CLE	98	164	59.8	1,002	6.11	45	4	5	22	72.8	143
41	Jeff Garcia, QB	DET	102	173	59.0	937	5.42	49	3	6	6	65.1	156
42	Alex Smith, QB	SF	84	165	50.9	875	5.30	47	1	11	29	40.8	97
43	Vinny Testaverde, QB	NYJ	60	106	56.6	777	7.33	47	1	6	12	59.4	130
44 	Ryan Fitzpatrick, QB	STL	76	135	56.3	777	5.76	56	4	8	9	58.2	194
45	Todd Bouman, QB	NO	68	122	55.7	722	5.92	43	2	7	8	54.7	45
46	Tim Rattay, QB	SF/TB	56	97	57.7	667	6.88	89	5	6	10	70.3	167
47	Chad Pennington, QB	NYJ	49	83	59.0	530	6.39	37	2	3	9	70.9	177
48	Matt Schaub, QB	ATL	33	64	51.6	495	7.73	53	4	0	6	98.1	31
49	Ken Dorsey, QB	SF	48	90	53.3	481	5.34	44	2	2	6	66.9	160
50	Billy Volek, QB	TEN	50	88	56.8	474	5.39	55	4	2	9	77.6	79
51	Sage Rosenfels, QB	MIA	34	61	55.7	462	7.57	77	4	3	0	81.5	116
52	Jim Sorgi, QB	IND	42	61	68.9	444	7.28	45	3	1	3	99.4	89
53	Tommy Maddox, QB	PIT	34	71	47.9	406	5.72	32	2	4	8	51.7	102
54	Patrick Ramsey, QB	WSH	15	25	60.0	279	11.16	72	1	1	4	95.3	70
55	Rex Grossman, QB	CHI	20	39	51.3	259	6.64	54	1	2	1	59.7	130
56	Charlie Batch, QB	PIT	23	36	63.9	246	6.83	43	1	1	1	81.5	62
57	Koy Detmer, QB	PHI	32	56	57.1	238	4.25	24	0	3	3	45.1	15
