Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2008 	1	Andre Johnson, WR	HOU	115	170	1,575	13.7	8	65	20	98.4	1	473	79
2008 	2	Larry Fitzgerald, WR	ARI	96	154	1,431	14.9	12	78	20	89.4	1	446	66
2008 	3	Steve Smith, WR	CAR	78	129	1,421	18.2	6	65	23	101.5	1	429	59
2008 	4	Roddy White, WR	ATL	88	148	1,382	15.7	7	70	18	86.4	1	370	61
2008 	5	Calvin Johnson, WR	DET	78	151	1,331	17.1	12	96	21	83.2	2	489	52
2008 	6	Greg Jennings, WR	GB	80	139	1,292	16.2	9	63	21	80.8	1	368	55
2008 	7	Brandon Marshall, WR	DEN	104	183	1,265	12.2	6	47	16	84.3	3	411	65
2008 	8	Antonio Bryant, WR	TB	83	137	1,248	15.0	7	71	16	78.0	1	373	60
2008 	9	Wes Welker, WR	NE	111	150	1,165	10.5	3	64	13	72.8	1	751	57
2008 	10	Reggie Wayne, WR	IND	82	131	1,145	14.0	6	65	13	71.6	0	317	63 
2008 	11	Vincent Jackson, WR	SD	59	100	1,098	18.6	7	60	16	68.6	1	204	52
2008 	12	Tony Gonzalez, TE	KC	96	154	1,058	11.0	10	35	10	66.1	0	258	67
2008 	13	Terrell Owens, WR	DAL	69	140	1,052	15.2	10	75	15	65.8	1	274	38
2008 	14	Santana Moss, WR	WSH	79	137	1,044	13.2	6	67	15	65.3	1	428	50
2008 	15	Hines Ward, WR	PIT	81	124	1,043	12.9	7	49	15	65.2	1	411	55
2008 	16	Anquan Boldin, WR	ARI	89	127	1,038	11.7	11	79	10	86.5	3	571	56
2008 	17	Derrick Mason, WR	BAL	80	121	1,037	13.0	5	54	12	64.8	2	234	60
2008 	18	Dwayne Bowe, WR	KC	86	158	1,022	11.9	7	36	12	63.9	0	386	49
2008 	19	Lee Evans, WR	BUF	63	101	1,017	16.1	3	87	13	63.6	2	267	46
2008 	20	Donald Driver, WR	GB	74	115	1,012	13.7	5	71	13	63.3	0	348	44 
2008 	21	Randy Moss, WR	NE	69	125	1,008	14.6	11	76	14	63.0	3	350	46
2008 	22	Steve Breaston, WR	ARI	77	113	1,006	13.1	3	58	13	62.9	0	245	44
2008 	23	Eddie Royal, WR	DEN	91	129	980	10.8	5	93	8	65.3	1	343	43
2008 	24	Bernard Berrian, WR	MIN	48	96	964	20.1	7	99	14	60.3	0	320	34
2008 	25	Jason Witten, TE	DAL	81	121	952	11.8	4	42	14	59.5	0	330	50
2008 	26	Lance Moore, WR	NO	79	121	928	11.7	10	70	8	58.0	0	286	40
2008 	27	Muhsin Muhammad, WR	CAR	65	108	923	14.2	5	60	12	57.7	2	322	46
2008 	28	DeSean Jackson, WR	PHI	62	121	912	14.7	2	60	17	57.0	1	263	43
2008 	29	T.J. Houshmandzadeh, WR	CIN	92	135	904	9.8	4	46	10	60.3	0	366	51
2008 	30	Kevin Walter, WR	HOU	60	95	899	15.0	8	61	15	56.2	0	305	39 
2008 	31	Braylon Edwards, WR	CLE	55	139	873	15.9	3	70	15	54.6	0	216	42
2008 	32	Owen Daniels, TE	HOU	70	101	862	12.3	2	35	10	53.9	2	411	46
2008 	33	Jerricho Cotchery, WR	NYJ	71	111	858	12.1	5	56	11	53.6	2	350	43
2008 	34	Laveranues Coles, WR	NYJ	70	117	850	12.1	7	54	12	53.1	1	294	44
2008 	35	Chris Cooley, TE	WSH	83	111	849	10.2	1	28	7	53.1	3	459	43
2008 	36	Dallas Clark, TE	IND	77	107	848	11.0	6	33	13	56.5	2	360	41
2008 	37	Isaac Bruce, WR	SF	61	108	835	13.7	7	63	14	52.2	0	199	43
2008 	38	Santonio Holmes, WR	PIT	55	114	821	14.9	5	48	10	54.7	2	211	40
2008 	39	Torry Holt, WR	STL	64	119	796	12.4	3	45	9	49.8	0	162	40
2008 	40	Devery Henderson, WR	NO	32	56	793	24.8	3	84	13	49.6	1	263	27
2008 	41	Ted Ginn, WR	MIA	56	93	790	14.1	2	64	7	49.4	3	192	36
2008 	42	Zach Miller, TE	OAK	56	87	778	13.9	1	63	16	48.6	0	259	32
2008 	43	Michael Jenkins, WR	ATL	50	81	777	15.5	3	62	13	48.6	0	176	37
2008 	44	Matt Jones, WR	JAC	65	108	761	11.7	2	35	9	63.4	1	193	47
2008 	45	Marques Colston, WR	NO	47	89	760	16.2	5	70	12	69.1	1	243	35
2008 	46	Antonio Gates, TE	SD	60	92	704	11.7	8	34	8	44.0	1	227	39
2008 	47	Mark Clayton, WR	BAL	41	82	695	17.0	3	70	9	43.4	0	173	23
2008 	48	Donnie Avery, WR	STL	53	102	674	12.7	3	69	8	44.9	0	201	30
2008 	49	Devin Hester, KR	CHI	51	91	665	13.0	3	65	9	44.3	1	200	29
2008 	50	Anthony Gonzalez, WR	IND	57	79	664	11.6	4	58	7	41.5	0	184	36 
2008 	51	Justin Gage, WR	TEN	34	73	651	19.1	6	56	13	54.3	0	180	28
2008 	52	Bobby Wade, WR	MIN	53	88	645	12.2	2	59	8	40.3	2	238	32
2008 	52 	Tony Scheffler, TE	DEN	40	60	645	16.1	3	72	13	49.6	1	201	28
2008 	54	Marvin Harrison, WR	IND	60	107	636	10.6	5	67	4	42.4	1	162	41
2008 	55	Nate Washington, WR	PIT	40	78	631	15.8	3	65	7	39.4	0	141	25
2008 	56	John Carlson, TE	SEA	55	80	627	11.4	5	33	10	39.2	0	236	36
2008 	57	Greg Camarillo, WR	MIA	55	83	613	11.1	2	33	6	55.7	0	175	31
2008 	58	Josh Reed, WR	BUF	56	79	597	10.7	1	24	6	45.9	0	145	36
2008 	59	Visanthe Shiancoe, TE	MIN	42	59	596	14.2	7	40	12	37.3	0	180	30
2008 	59 	Domenik Hixon, WR	NYG	43	74	596	13.9	2	41	5	37.3	0	147	29
2008 	61	Antwaan Randle El, WR	WSH	53	87	593	11.2	4	31	6	37.1	0	184	34
2008 	62	Amani Toomer, WR	NYG	48	91	580	12.1	4	40	6	36.3	1	140	30
2008 	63	Billy Miller, TE	NO	45	63	579	12.9	1	41	11	38.6	0	193	30
2008 	64	Greg Olsen, TE	CHI	54	82	574	10.6	5	52	6	35.9	2	255	31
2008 	64 	Steve Smith, WR	NYG	57	83	574	10.1	1	30	3	35.9	1	136	35
2008 	66	Maurice Jones-Drew, RB	JAC	62	76	565	9.1	2	26	4	35.3	2	572	27
2008 	67	Bo Scaife, TE	TEN	58	83	561	9.7	2	44	4	35.1	1	372	29
2008 	68	Davone Bess, WR	MIA	54	75	554	10.3	1	37	5	34.6	0	265	29
2008 	69	Patrick Crayton, WR	DAL	39	70	550	14.1	4	55	8	34.4	1	204	24
2008 	70	Bryant Johnson, WR	SF	45	75	546	12.1	3	42	6	34.1	0	153	28 
2008 	71	Dennis Northcutt, WR	JAC	44	68	545	12.4	2	41	7	38.9	1	129	25
2008 	72	Chad Johnson, WR	CIN	53	96	540	10.2	4	26	3	41.5	0	84	36
2008 	73	Dustin Keller, TE	NYJ	48	78	535	11.1	3	54	7	33.4	0	172	32
2008 	74	Brandon Stokley, WR	DEN	49	85	528	10.8	3	36	3	35.2	0	162	35
2008 	75	Heath Miller, TE	PIT	48	66	514	10.7	3	22	4	36.7	1	257	29
2008 	76	Bobby Engram, WR	SEA	47	80	489	10.4	0	37	5	37.6	1	167	25
2008 	76 	Marcedes Lewis, TE	JAC	41	72	489	11.9	2	30	8	30.6	0	153	21
2008 	78	Kevin Faulk, RB	NE	58	75	486	8.4	3	22	1	32.4	0	474	23
2008 	79	Michael Clayton, WR	TB	38	60	484	12.7	1	58	7	32.3	1	192	21
2008 	80	Jeremy Shockey, TE	NO	50	72	483	9.7	0	26	4	40.3	2	216	30
2008 	81	Matt Forte, RB	CHI	63	77	477	7.6	4	19	0	29.8	0	437	23
2008 	82	Jabar Gaffney, WR	NE	38	65	468	12.3	2	37	4	29.3	0	116	26
2008 	83	Malcom Floyd, WR	SD	27	37	465	17.2	4	49	8	35.8	0	61	21
2008 	84	Chris Chambers, WR	SD	33	65	462	14.0	5	48	4	33.0	0	74	21
2008 	85	Plaxico Burress, WR	NYG	35	66	454	13.0	4	33	6	45.4	0	57	25
2008 	85 	Anthony Fasano, TE	MIA	34	53	454	13.4	7	24	6	28.4	0	144	26
2008 	87	David Martin, TE	MIA	31	45	450	14.5	3	61	8	28.1	1	139	20
2008 	88	Brandon Jones, WR	TEN	41	63	449	11.0	1	40	4	28.1	0	119	25
2008 	89	Jerheme Urban, WR	ARI	34	51	448	13.2	4	56	6	28.0	0	168	19
2008 	90	Rashied Davis, WR	CHI	35	67	445	12.7	2	36	5	27.8	0	146	21 
2008 	91	Reggie Bush, RB	NO	52	72	440	8.5	4	42	5	44.0	1	387	22
2008 	 	Hank Baskett, WR	PHI	33	52	440	13.3	3	90	5	29.3	1	150	22
2008 	93	Roy Williams, WR	DAL/DET	36	82	430	11.9	2	38	6	28.7	0	124	26
2008 	94	Kellen Winslow, TE	CLE	43	81	428	10.0	3	30	3	42.8	1	121	25
2008 	95	LaDainian Tomlinson, RB	SD	52	78	426	8.2	1	32	4	26.6	1	469	19
2008 	96	Ike Hilliard, WR	TB	47	58	424	9.0	4	36	2	26.5	1	130	31
2008 	97	Marion Barber, RB	DAL	52	61	417	8.0	2	70	2	27.8	4	413	16
2008 	98	Justin McCareins, WR	TEN	30	72	412	13.7	0	37	7	29.4	1	79	22
2008 	 	Deion Branch, WR	SEA	30	59	412	13.7	4	63	4	51.5	0	157	18
2008 	100	Todd Heap, TE	BAL	35	64	403	11.5	3	30	7	25.2	1	181	23 
2008 	101	Brian Westbrook, RB	PHI	54	75	402	7.4	5	47	2	28.7	1	387	18
2008 	102	Koren Robinson, WR	SEA	31	58	400	12.9	2	90	3	33.3	0	120	22
2008 	103	Chester Taylor, RB	MIN	45	54	399	8.9	2	47	1	24.9	2	382	17
2008 	104	Jerramy Stevens, TE	TB	36	59	397	11.0	2	31	6	28.4	0	156	16
2008 	105	Kevin Curtis, WR	PHI	33	63	390	11.8	2	32	4	43.3	0	89	19
2008 	106	Daniel Graham, TE	DEN	32	50	389	12.2	4	28	8	24.3	0	199	20
2008 	107	Derrick Ward, RB	NYG	41	55	384	9.4	0	48	3	24.0	0	423	14
2008 	 	Kevin Boss, TE	NYG	33	55	384	11.6	6	28	7	25.6	0	155	21
2008 	109	Mark Bradley, WR	CHI/KC	30	62	380	12.7	3	56	5	31.7	0	92	14
2008 	110	Steven Jackson, RB	STL	40	62	379	9.5	1	53	5	31.6	0	399	15 
2008 	111	Jason Avant, WR	PHI	32	57	377	11.8	2	31	5	25.1	0	80	22
2008 	 	Steve Slaton, RB	HOU	50	59	377	7.5	1	46	4	23.6	1	446	14
2008 	113	Frank Gore, RB	SF	43	66	373	8.7	2	26	4	26.6	0	345	15
2008 	114	Desmond Clark, TE	CHI	41	73	367	9.0	1	35	5	22.9	1	154	18
2008 	115	Johnnie Lee Higgins, WR	OAK	22	42	366	16.6	4	84	5	22.9	0	206	13
2008 	 	Jordy Nelson, WR	GB	33	55	366	11.1	2	29	3	22.9	0	88	18
2008 	117	Brandon Lloyd, WR	CHI	26	50	364	14.0	2	32	7	33.1	0	78	17
2008 	 	Reggie Williams, WR	JAC	37	63	364	9.8	3	32	4	22.8	0	66	22
2008 	119	Chansi Stuckey, WR	NYJ	32	45	359	11.2	3	31	5	23.9	0	195	22
2008 	120	Vernon Davis, TE	SF	31	48	358	11.5	2	57	5	22.4	2	249	14
