2014    1	Indianapolis	661	410	62.0	4894	7.7	80	42	16	29	168	96.8	306
2014    2	Pittsburgh	612	411	67.2	4825	8.2	94	33	10	33	172	103.2	302
2014    3	New Orleans	659	456	69.2	4764	7.5	69	33	17	30	188	97.0	298
2014    4	Denver	607	399	65.7	4661	7.9	86	40	15	17	118	101.3	291
2014    5	Atlanta	632	418	66.1	4553	7.5	79	28	15	31	205	93.4	285
2014    6	Philadelphia	621	384	61.8	4356	7.4	72	27	21	32	225	84.8	272
2014    7	NY Giants	607	383	63.1	4272	7.4	80	30	14	30	198	92.2	267
2014    8	Green Bay	536	349	65.1	4261	8.3	80	38	6	30	186	109.9	266
2014    9	New England	609	392	64.4	4121	7.0	69	34	9	26	170	97.5	258
2014    10	San Diego	574	380	66.2	4098	7.5	59	31	18	37	198	93.4	256
2014    11	Washington	547	364	66.5	4047	8.2	81	18	18	58	414	88.8	253
2014    12	Detroit	604	365	60.4	4030	7.1	73	22	12	45	254	85.9	252
2014    13	Baltimore	554	344	62.1	3819	7.2	80	27	12	19	167	91.0	239
2014    14	Arizona	568	320	56.3	3808	7.0	81	21	12	28	182	81.8	238
2014    15	Chicago	609	396	65.0	3792	6.6	74	30	19	41	243	87.3	237
2014    16	Dallas	476	328	68.9	3784	8.4	68	37	11	30	224	110.9	237
2014    17	Miami	595	394	66.2	3729	6.8	50	27	12	46	337	92.5	233
2014    18	Buffalo	579	363	62.7	3614	6.7	84	23	13	39	242	86.0	226
2014    19	Carolina	545	327	60.0	3511	7.0	51	23	12	42	317	86.2	219
2014    20	Cleveland	502	274	54.6	3465	7.3	81	12	16	31	213	72.8	217
2014    21	Cincinnati	503	323	64.2	3421	7.1	81	20	17	23	130	84.2	214
2014    22	Tennessee	513	299	58.3	3412	7.3	80	20	16	50	326	81.0	213
2014    23	St. Louis	515	327	63.5	3400	7.2	63	20	16	47	295	84.9	213
2014    24	Houston	485	295	60.8	3352	7.1	76	22	13	26	108	86.4	210
2014    25	Tampa Bay	531	301	56.7	3297	6.8	56	21	20	52	326	75.2	206
2014    26	Oakland	629	365	58.0	3275	5.5	77	22	16	28	181	74.4	205
2014    27	Seattle	454	287	63.2	3250	7.7	80	20	7	42	242	95.1	203
2014    28	Minnesota	517	322	62.3	3244	6.9	87	17	18	51	322	79.2	203
2014    29	Kansas City	493	320	64.9	3182	7.0	70	18	6	49	246	92.2	199
2014    30	San Francisco	487	292	60.0	3063	7.0	80	20	10	52	344	86.3	191
2014    31	Jacksonville	557	325	58.3	3001	6.2	63	15	18	71	450	72.0	188
2014    32	NY Jets	498	287	57.6	2946	6.4	74	16	15	47	260	75.1	184
2013    1	Denver	675	461	68.3	5444	8.3	78	55	10	20	128	114.4	340
2013    2	New Orleans	651	446	68.5	4918	7.9	76	39	12	37	244	104.5	307
2013    3	Detroit	634	371	58.5	4482	7.3	87	29	19	23	168	84.2	280
2013    4	San Diego	544	378	69.5	4328	8.2	60	32	11	30	150	105.5	271
2013    5	Chicago	579	373	64.4	4281	7.7	80	32	13	30	169	96.9	268
2013    6	Green Bay	570	366	64.2	4268	8.0	83	25	16	45	270	91.7	267
2013    7	Atlanta	659	445	67.5	4243	6.9	81	26	17	44	298	89.5	265
2013    8	Cincinnati	587	364	62.0	4136	7.4	82	33	20	29	182	89.0	259
2013    9	Philadelphia	508	310	61.0	4110	8.7	70	32	9	46	296	102.7	257
2013    10	New England	628	380	60.5	4087	6.9	81	25	11	40	256	87.3	255
2013    11	Cleveland	681	379	55.7	4047	6.4	95	26	20	49	325	75.7	253
2013    12	Pittsburgh	586	377	64.3	4017	7.3	67	28	14	43	289	92.3	251
2013    13	Arizona	574	363	63.2	4002	7.5	91	24	22	41	289	83.9	250
2013    14	Dallas	586	375	64.0	3954	7.2	82	33	12	35	272	95.7	247
2013    15	Houston	633	371	58.6	3813	6.6	66	19	22	42	370	74.0	238
2013    16	Washington	611	355	58.1	3751	6.6	62	20	19	43	306	76.1	234
2013    17	Indianapolis	582	350	60.1	3725	6.8	73	23	10	32	227	86.5	233
2013    18	Baltimore	619	363	58.6	3590	6.3	74	19	23	48	324	72.0	224
2013    19	NY Giants	567	325	57.3	3588	6.8	70	18	29	40	287	67.6	224
2013    20	Miami	594	357	60.1	3567	6.7	67	24	19	58	399	80.1	223
2013    21	Tennessee	533	328	61.5	3496	7.0	77	22	16	37	214	83.6	219
2013    22	Jacksonville	592	349	59.0	3441	6.3	67	16	21	50	310	71.8	215
2013    23	Minnesota	546	325	59.5	3427	6.7	79	18	19	44	218	76.0	214
2013    24	Kansas City	546	333	61.0	3340	6.5	71	24	8	41	221	88.6	209
2013    25 	Oakland	519	298	57.4	3340	7.0	73	17	20	44	289	73.9	209
2013    26	Seattle	420	267	63.6	3236	8.4	80	27	9	44	272	102.4	202
2013    27	St. Louis	506	301	59.5	3125	6.6	81	22	11	36	235	84.8	195
2013    28	Buffalo	522	299	57.3	3103	6.5	59	16	15	48	270	75.0	194
2013    29	Carolina	473	292	61.7	3043	7.1	79	24	13	43	336	88.8	190
2013    30	San Francisco	417	244	58.5	2979	7.7	64	21	8	39	231	91.7	186
2013    31	NY Jets	480	266	55.4	2932	6.8	69	13	22	47	338	66.6	183
2013    32	Tampa Bay	514	291	56.6	2820	6.2	85	22	12	47	361	79.6	176
2012    1	New Orleans	671	423	63.0	4997	7.7	80	43	19	26	190	96.4	312
2012    2	Detroit	740	445	60.1	4927	6.9	57	22	17	29	212	81.5	308
2012    3	Dallas	658	434	66.0	4729	7.6	85	29	19	36	263	91.3	296
2012    4	New England	641	402	62.7	4662	7.6	83	34	9	27	182	97.7	291
2012    5	Denver	588	402	68.4	4534	7.9	71	37	11	21	137	105.3	283
2012    6	Atlanta	615	422	68.6	4509	7.7	80	32	14	28	210	99.1	282
2012    7	Indianapolis	628	339	54.0	4128	7.0	70	23	18	41	246	76.4	258
2012    8	Oakland	629	376	59.8	4084	6.8	64	24	16	27	208	82.5	255
2012    9	Green Bay	558	374	67.0	4049	7.8	73	40	8	51	293	108.3	253
2012    10	Tampa Bay	566	311	54.9	3983	7.3	95	27	17	26	161	81.8	249
2012    11	Houston	554	354	63.9	3830	7.3	60	22	13	28	216	89.2	239
2012    12	NY Giants	539	323	59.9	3825	7.4	80	26	15	20	142	87.2	239
2012    13	Philadelphia	618	367	59.4	3791	6.6	77	18	15	48	284	78.6	237
2012    14	Pittsburgh	574	354	61.7	3787	7.0	82	27	14	37	225	88.1	237
2012    15	Baltimore	560	334	59.6	3739	7.1	61	22	11	38	257	86.4	234
2012    16	Carolina	490	284	58.0	3683	8.0	82	19	12	36	244	86.5	230
2012    17	Cincinnati	540	335	62.0	3578	7.1	73	28	16	46	229	88.1	224
2012    18	St. Louis	557	332	59.6	3550	6.8	80	22	14	35	233	82.7	222
2012    19	Cleveland	566	328	58.0	3435	6.5	71	16	18	36	233	73.6	215
2012    20	Washington	442	291	65.8	3422	8.3	88	24	8	33	244	102.1	214
2012    21	Jacksonville	586	328	56.0	3419	6.4	81	20	17	50	327	74.7	214
2012    22	Tennessee	540	318	58.9	3323	6.6	71	17	16	39	254	76.9	208
2012    23	San Francisco	436	289	66.3	3298	8.1	57	23	8	41	253	101.2	206
2012    24	San Diego	528	338	64.0	3295	6.8	80	26	15	49	311	88.5	206
2012    25	Buffalo	511	309	60.5	3269	6.7	68	24	17	30	161	82.2	204
2012    26	Miami	504	293	58.1	3182	6.8	80	13	13	37	243	76.7	199
2012    27	Seattle	405	259	64.0	3031	8.0	67	27	10	33	203	100.6	189
2012    28	Arizona	608	337	55.4	3005	5.6	53	11	21	58	378	63.1	188
2012    29	Chicago	485	287	59.2	2999	6.8	60	21	16	44	299	80.4	187
2012    30	NY Jets	493	272	55.2	2891	6.4	66	14	19	47	287	68.3	181
2012    31	Minnesota	483	300	62.1	2751	6.1	65	18	12	32	184	81.2	172
2012    32	Kansas City	475	273	57.5	2713	6.2	57	8	20	40	224	63.8	170
2011    1	New Orleans	662	472	71.3	5347	8.3	79	46	14	24	158	110.5	334
2011    2	New England	612	402	65.7	5084	8.6	99	39	12	32	173	105.7	318
2011    3	Green Bay	552	376	68.1	4924	9.4	93	51	8	41	237	122.6	308
2011    4	Detroit	666	423	63.5	4814	7.6	73	41	16	36	257	97.2	301
2011    5	NY Giants	589	359	61.0	4734	8.4	99	29	16	28	199	92.9	296
2011    6	San Diego	582	366	62.9	4426	7.9	58	27	20	30	198	88.7	277
2011    7	Dallas	570	376	66.0	4201	7.8	77	33	12	39	252	100.1	263
2011    8	Atlanta	594	365	61.4	4192	7.3	80	29	13	26	173	91.1	262
2011    9	Philadelphia	554	330	59.6	4110	7.7	73	22	25	32	166	78.3	257
2011    10	Pittsburgh	539	341	63.3	4054	8.0	95	21	15	42	279	89.7	253
2011    11	Oakland	524	315	60.1	3962	7.9	78	20	23	25	157	79.4	248
2011    12	Tennessee	584	353	60.4	3923	7.0	80	22	14	24	190	84.4	245
2011    13	Carolina	519	312	60.1	3829	7.9	91	21	17	35	260	84.8	239
2011    14	Washington	591	346	58.5	3773	6.9	51	19	24	41	285	73.3	236
2011    15	Buffalo	578	356	61.6	3703	6.7	60	24	25	23	154	77.0	231
2011    16	Tampa Bay	588	365	62.1	3650	6.5	65	17	24	32	188	73.6	228
2011    17	Arizona	550	307	55.8	3567	7.2	73	21	23	54	387	73.9	223
2011    18	Houston	467	288	61.7	3506	7.9	80	20	9	33	190	92.7	219
2011    19	Baltimore	544	314	57.7	3423	6.7	74	21	12	33	206	81.7	214
2011    20	Cincinnati	535	308	57.6	3340	6.6	84	21	14	25	167	79.6	209
2011    21	NY Jets	547	310	56.7	3297	6.5	74	26	18	40	245	78.4	206
2011    22	Seattle	509	299	58.7	3105	6.8	61	15	14	50	339	77.6	194
2011    23	Miami	469	280	59.7	3091	7.3	65	20	13	52	334	84.9	193
2011    24	Cleveland	570	320	56.1	3090	5.8	76	16	13	39	210	72.8	193
2011    25	Kansas City	500	299	59.8	3080	6.6	52	13	18	34	208	73.0	193
2011    26	Chicago	473	268	56.7	3011	7.1	81	18	20	49	335	73.8	188
2011    27	Indianapolis	534	302	56.6	2995	6.0	87	14	14	35	228	72.2	187
2011    28	Minnesota	510	286	56.1	2957	6.4	72	20	17	49	298	74.6	185
2011    29	San Francisco	451	277	61.4	2930	7.1	56	18	5	44	263	91.4	183
2011    30	St. Louis	549	292	53.2	2870	5.9	68	9	10	55	388	69.0	179
2011    31	Denver	429	217	50.6	2434	6.3	56	20	13	42	274	73.5	152
2011    32	Jacksonville	469	240	51.2	2179	5.4	74	12	15	44	331	62.2	136
2010    1	Indianapolis	679	450	66.3	4609	6.9	73	33	17	16	91	91.9	288
2010    2	San Diego	544	359	66.0	4519	8.7	59	30	13	38	227	101.9	282
2010    3	New Orleans	661	450	68.1	4441	7.0	80	33	22	26	195	90.8	278
2010    4	Houston	574	365	63.6	4144	7.6	60	24	12	32	226	92.0	259
2010    5	Green Bay	541	352	65.1	4124	8.1	86	31	13	38	231	98.9	258
2010    6	Dallas	576	379	65.8	4042	7.3	71	29	19	31	166	90.4	253
2010    7	Denver	580	334	57.6	4038	7.4	71	25	12	40	269	86.8	252
2010    8	Washington	605	349	57.7	3913	7.0	76	21	19	46	348	78.0	245
2010    9	Philadelphia	561	348	62.0	3906	7.5	91	28	13	49	309	92.1	244
2010    10	NY Giants	539	339	62.9	3885	7.4	92	31	25	16	117	85.3	243
2010    11	New England	507	331	65.3	3847	7.9	79	37	5	25	175	109.8	240
2010    12	Detroit	633	383	60.5	3810	6.3	87	26	16	27	191	82.0	238
2010    13	Cincinnati	590	365	61.9	3767	6.8	78	26	20	28	221	82.4	235
2010    14	Pittsburgh	479	298	62.2	3601	8.1	56	22	9	43	289	95.2	225
2010    15	Atlanta	577	361	62.6	3567	6.5	46	28	9	23	158	90.8	223
2010    16	Miami	557	335	60.1	3527	6.7	57	17	21	38	228	74.8	220
2010    17	Tampa Bay	494	306	61.9	3361	7.2	64	26	6	30	203	96.2	210
2010    18	San Francisco	500	282	56.4	3356	7.2	66	19	15	44	257	79.4	210
2010    19	Seattle	544	324	59.6	3341	6.5	87	14	20	35	195	72.1	209
2010    20	Baltimore	491	308	62.7	3335	7.4	67	25	10	40	294	93.6	208
2010    21	St. Louis	590	354	60.0	3268	6.0	49	18	15	34	244	76.5	204
2010    22	NY Jets	525	288	54.9	3242	6.5	74	20	14	28	178	76.5	203
2010    23	Oakland	491	279	56.8	3180	7.1	73	18	16	44	291	77.5	199
2010    24	Buffalo	519	296	57.0	3158	6.5	65	24	21	34	213	75.2	197
2010    25	Tennessee	474	273	57.6	3107	6.9	80	24	15	27	171	82.6	194
2010    26	Minnesota	505	305	60.4	3097	6.6	53	14	26	36	230	67.6	194
2010    27	Jacksonville	469	291	62.0	3065	7.2	75	26	21	38	291	83.4	192
2010    28	Chicago	466	276	59.2	3015	7.3	89	23	21	56	382	79.5	188
2010    29	Cleveland	478	296	61.9	2989	6.7	65	13	18	36	214	75.0	187
2010    30	Kansas City	475	274	57.7	2968	6.7	75	27	8	32	221	90.1	186
2010    31	Arizona	561	285	50.8	2921	5.8	74	10	19	50	343	60.5	183
2010    32	Carolina	484	256	52.9	2289	5.4	88	9	21	50	346	57.0	143
2009    1	Houston	593	399	67.3	4654	8.1	72	29	17	25	149	96.3	291
2009    2	Indianapolis	601	402	66.9	4515	7.7	80	34	19	13	90	95.4	282
2009    3	New England	592	390	65.9	4436	7.7	81	28	13	18	104	95.6	277
2009    4	New Orleans	544	378	69.5	4355	8.3	75	34	12	20	135	106.0	272
2009    5	San Diego	519	338	65.1	4338	8.7	81	29	10	26	168	103.1	271
2009    6	Dallas	550	347	63.1	4287	8.2	80	26	9	34	196	97.6	268
2009    7	Green Bay	553	357	64.6	4180	8.1	83	30	8	51	312	101.8	261
2009    8	Minnesota	553	377	68.2	4156	8.0	63	34	7	34	247	107.3	260
2009    9	Pittsburgh	536	351	65.5	4148	8.4	60	28	14	50	348	98.1	259
2009    10	Philadelphia	553	335	60.6	4089	7.9	71	27	13	38	291	92.0	256
2009    11	NY Giants	542	338	62.4	4019	7.8	74	28	14	32	227	93.2	251
2009    12	Arizona	594	392	66.0	4016	7.1	45	27	18	26	184	89.1	251
2009    13	Denver	558	341	61.1	3627	6.9	87	21	13	34	198	84.4	227
2009    14	Atlanta	570	332	58.2	3571	6.5	90	26	17	27	126	80.4	223
2009    15	Seattle	609	372	61.1	3503	6.2	53	20	19	41	268	76.7	219
2009    16	Washington	533	340	63.8	3490	7.1	84	21	16	46	307	85.6	218
2009    17	Chicago	563	340	60.4	3473	6.5	71	27	27	35	204	75.6	217
2009    18	Baltimore	510	321	62.9	3419	7.1	72	21	13	36	218	87.4	214
2009    19	Jacksonville	519	315	60.7	3356	6.9	63	15	10	44	243	83.2	210
2009    20	Miami	545	331	60.7	3170	6.2	67	15	19	34	226	73.3	198
2009    21	Detroit	585	316	54.0	3168	5.9	75	16	32	43	303	58.1	198
2009    22	San Francisco	528	312	59.1	3052	6.2	73	23	14	40	241	80.8	191
2009    23	Tennessee	476	271	56.9	3031	6.5	69	16	15	15	73	74.8	189
2009    24	Tampa Bay	525	280	53.3	2975	6.0	47	18	29	33	161	59.8	186
2009    25	Kansas City	536	296	55.2	2922	5.9	61	18	17	45	261	70.8	183
2009    26	Cincinnati	477	286	60.0	2890	6.6	73	21	13	29	244	82.7	181
2009    27	Carolina	465	264	56.8	2799	6.6	66	16	20	33	271	70.5	175
2009    28	St. Louis	543	312	57.5	2686	5.5	50	12	21	44	284	64.0	168
2009    29	Oakland	485	255	52.6	2557	5.9	86	10	18	49	318	62.0	160
2009    30	Buffalo	441	256	58.1	2515	6.3	98	17	19	46	274	71.7	157
2009    31	NY Jets	393	210	53.4	2380	6.6	65	12	21	30	216	62.0	149
2009    32	Cleveland	443	219	49.4	2076	5.1	59	11	18	30	179	55.8	130
2008    1	New Orleans	636	413	64.9	4977	8.0	84	34	18	13	92	95.4	311
2008    2	Arizona	630	418	66.3	4674	7.7	79	31	15	28	201	96.1	292
2008    3	Denver	620	386	62.3	4471	7.3	93	25	18	12	74	85.9	279
2008    4	Houston	555	367	66.1	4267	8.1	65	21	20	32	207	88.4	267
2008    5	Indianapolis	585	393	67.2	4094	7.1	75	27	12	14	86	94.7	256
2008    6	Philadelphia	606	362	59.7	3911	6.7	90	23	16	23	149	81.4	244
2008    7	San Diego	478	312	65.3	3858	8.4	67	34	11	25	151	105.5	241
2008    8	Green Bay	541	343	63.4	3813	7.5	71	28	13	34	231	93.3	238
2008    9	Dallas	547	328	60.0	3789	7.3	75	29	20	31	199	84.9	237
2008    10	Miami	491	330	67.2	3632	7.7	80	20	7	26	129	97.6	227
2008    11	Tampa Bay	562	355	63.2	3619	6.7	71	18	13	32	169	83.8	226
2008    12	New England	534	339	63.5	3569	7.1	76	21	11	48	221	89.1	223
2008    13	San Francisco	509	309	60.7	3379	7.3	63	21	19	55	345	81.4	211
2008    14	Atlanta	434	265	61.1	3336	7.9	70	16	11	17	104	87.7	209
2008    15	Jacksonville	537	335	62.4	3332	6.7	41	15	13	42	288	81.4	208
2008    16	NY Jets	529	347	65.6	3303	6.6	56	22	23	30	213	80.2	206
2008    17	Pittsburgh	506	303	59.9	3301	7.1	65	19	15	49	306	81.9	206
2008    18	NY Giants	491	298	60.7	3177	6.8	48	23	10	28	176	88.2	199
2008    19	Carolina	414	246	59.4	3158	7.9	65	15	12	20	130	84.7	197
2008    20	Kansas City	541	310	57.3	3129	6.2	75	23	16	37	229	77.5	196
2008    21	Chicago	528	304	57.6	3061	6.1	65	20	14	29	168	77.1	191
2008    22	Buffalo	479	309	64.5	3040	6.9	87	14	15	38	262	81.3	190
2008    23	Washington	510	318	62.4	3025	6.5	67	14	6	38	266	85.2	189
2008    24	Detroit	509	281	55.2	2960	6.5	96	18	19	52	339	71.3	185
2008    25	Minnesota	452	267	59.1	2956	7.1	99	22	17	43	261	81.5	185
2008    26	St. Louis	520	292	56.2	2947	6.3	80	11	19	45	321	66.9	184
2008    27	Tennessee	453	265	58.5	2819	6.4	56	13	9	12	83	78.8	176
2008    28	Baltimore	433	261	60.3	2808	7.1	70	16	12	33	277	82.8	176
2008    29	Seattle	474	262	55.3	2617	6.0	90	18	15	36	214	72.5	164
2008    30	Cincinnati	513	303	59.1	2406	5.2	79	11	15	51	271	68.0	150
2008    31	Cleveland	488	238	48.8	2380	5.2	70	11	20	24	157	54.8	149
2008    32	Oakland	421	222	52.7	2369	6.3	84	13	11	39	270	71.5	148
2007    1	New England	586	403	68.8	4731	8.3	69	50	9	21	128	116.0	296
2007    2	Green Bay	578	383	66.3	4334	7.7	82	30	15	19	127	95.9	271
